News website link,Folder name,Deny consent option,Deny consent name,Deny consent hierarchy,Cookie consent notice location,Accessible content,Deny consent clicks,Deny consent visibility,Consent options clarity,Cookie information,Third-party developer,Website accessibility,Dark pattern type,Confirmation message,Media organization
https://www.limburger.nl/,Limburger,Yes,Meer informatie →,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, one button to opt-out from all options","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,Yes,"Yes, interface interference & forced action",No,Mediahuis
https://www.geenstijl.nl/,Geenstijl,Yes,Instellingen beheren,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,Yes,"Yes, interface interference & forced action",No,-
https://fd.nl/,FD,Yes,Instellingen beheren,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, one button to opt-out from all options","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,"Unable to retrieve data, account needed","Yes, interface interference & forced action",No,FD Mediagroep
https://www.bndestem.nl/,bndestem,Yes,Instellen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,"Yes, some functionalities are missing","Yes, interface interference & forced action",No,dpgmedia
https://www.hartvannederland.nl/,hartvannederland,Yes,"Nee, instellingen beheren","No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,Yes,"Yes, interface interference & forced action","No but if you click 'accept' first and reject after in the cookie options, some options are still opted-in.",Talpha network
https://www.powned.tv/,Powned,Yes,X (button),"Yes, button","Bottom, entire width","Yes, cookie notice stays visibile",2,Yes,"Good clarity, ability to opt-out in the first cookie consent notice","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described on a seperate page",-,Yes,"Yes, sneaking",No,
https://www.pzc.nl/,PZC,Yes,Instellen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,"Yes, some functionalities are missing","Yes, interface interference & forced action",No,dpgmedia
https://www.noordhollandsdagblad.nl/,Noordshollandsdagblad,Yes,Stel voorkeuren in,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, deny all option present.","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,Yes,"Yes, interface interference & forced action",No,Mediahuis
https://www.vi.nl/,VI,Yes,Meer opties,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in the cookie consent notice",-,Yes,"Yes, interface interference & forced action",No,
https://www.dvhn.nl/,DVHN,Yes,Stel voorkeuren in,"No, button","Middle of the page, middle","No, grayed out",7,Yes,"Good clarity, no deny all option present. Each option has to be denied separately","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,Yes,"Yes, interface interference & forced action",No,Mediahuis
https://www.lc.nl/,LC,Yes,Stel voorkeuren in,"No, button","Middle of the page, middle","No, grayed out",7,Yes,"Good clarity, no deny all option present. Each option has to be denied separately","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,Yes,"Yes, interface interference & forced action",No,Mediahuis
http://rd.nl/,RD,Yes,Cookie-instellingen,"No, link","Middle of the page, middle",Yes,2,Yes,"Good clarity, all unnecessary options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described",OneTrust,Yes,"Yes, interface interference",No,Erdee Media Groep
https://www.ewmagazine.nl/,EW,Yes,Selectie toestaan,"Yes, button","Middle of the page, middle","Yes, cookie notice stays visibile",4,Yes,"Not good, all options are opted-in by default","Yes, cookies are divided in general categories with additional information available by expanding the cookie notice. Specific cookie details are described.",-,Yes,"Yes, interface interference & forced action",No,New Skool Media B.V.
https://www.bnr.nl/,BNR,Yes,Instellingen beheren,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, one button to opt-out from all options","Yes, cookies are divided in general categories with additional information available. Specific cookie details are missing, only third-parties are described",-,"Unable to retrieve data, account needed","Yes, interface interference & forced action",No,FD Mediagroep
https://www.haarlemsdagblad.nl/,Haarlemsdagblad,Yes,Stel voorkeuren in,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, deny all option present","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,Yes,"Yes, interface interference & forced action",No,Mediahuis
https://www.gooieneemlander.nl/,Gooieneemlander,Yes,Stel voorkeuren in,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, deny all option present","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,Yes,"Yes, interface interference & forced action",No,Mediahuis
https://www.leidschdagblad.nl/,Leidschdagblad,Yes,Stel voorkeuren in,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, deny all option present","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,Yes,"Yes, interface interference & forced action",No,Mediahuis
https://www.vn.nl/,VN,Yes,Cookies instellen en meer informatie,"No, link","Middle of the page, top","No, grayed out",2,Yes,"Good clarity, all unnecessary options are opted-out by default","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement that can be found by clicking a link in the initial cookie description",-,Yes,"Yes, interface interference & forced action",No,
https://www.ijmuidercourant.nl/,YC,Yes,Stel voorkeuren in,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, deny all option present","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,Yes,"Yes, interface interference & forced action",No,Mediahuis
https://www.blikopnieuws.nl/,Blikopnieuws,No,Meer informatie,"No, link","Bottom, entire width",Yes,-,-,"Not good, consent can not be denied. Cookie statements refers to browser settings","No, general cookie categories and description is provided but no information about specific cookies or third-parties.",-,-,"Yes, obstruction",-,
https://nieuws.nl/,Nieuws,Yes,Cookie-instellingen,"No, link","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, all unnecessary options are opted-out by default","No, general cookie categories and description is provided but no information about specific cookies or third-parties.",OneTrust,Yes,"Yes, interface interference & forced action",No,
https://www.omroepflevoland.nl/,Omroepflevoland,Yes,Privacy instellingen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, deny all option present","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,"Yes, some functionalities are missing","Yes, interface interference & forced action",No,
https://www.omroepbrabant.nl/,Omroepbrabant,Yes,Privacy instellingen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, deny all option present","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,"Yes, some functionalities are missing","Yes, interface interference & forced action",No,
https://www.omroepgelderland.nl/,Omroepgelderland,Yes,Privacy instellingen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, deny all option present","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,"Yes, some functionalities are missing","Yes, interface interference & forced action",No,
https://www.omroepzeeland.nl/,Omroepzeeland,Yes,Privacy instellingen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, deny all option present","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,"Yes, some functionalities are missing","Yes, interface interference & forced action",No,
https://www.omroepwest.nl/,Omroepwest,Yes,Privacy instellingen,"No, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, deny all option present","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,"Yes, some functionalities are missing","Yes, interface interference & forced action",No,
https://omroepvenlo.nl/,Omroepvenlo,No,Meer informatie over cookies,"No, link","Bottom, entire width",Yes,-,-,"Not good, consent can not be denied. Cookie page shows a 404 page not found error","No, all cookie information is missing",-,-,"Yes, obstruction",-,
https://www.omroepmax.nl/,Omroepmax,Yes,X (button),"Yes, button","Bottom, entire width","Yes, cookie notice stays visibile",2,Yes,"Good clarity, ability to opt-out in the first cookie consent notice","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described on a seperate page",-,Yes,"Yes, sneaking",No,
https://www.at5.nl/,at5,Yes,Instellingen beheren,"Yes, button","Top, entire width","No, grayed out",2,Yes,"Good clarity, explicit deny all button present","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",-,Yes,"Yes, interface interference & forced action",Yes,
https://denoordoostpolder.nl/,Denoordoostpolder,Yes,Stel voorkeuren in,"No, button","Middle of the page, middle","No, grayed out",7,Yes,"Good clarity, no deny all option present. Each option has to be denied separately","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,Yes,"Yes, interface interference & forced action",No,
https://zuidfriesland.nl/,Zuidfriesland,Yes,Stel voorkeuren in,"No, button","Middle of the page, middle","No, grayed out",7,Yes,"Good clarity, no deny all option present. Each option has to be denied separately","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,Yes,"Yes, interface interference & forced action",No,
https://heerenveensecourant.nl/,Heerenveensecourant,Yes,Stel voorkeuren in,"No, button","Middle of the page, middle","No, grayed out",7,Yes,"Good clarity, no deny all option present. Each option has to be denied separately","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",Didomi,Yes,"Yes, interface interference & forced action",No,
https://www.rtvnoord.nl/,RTVnoord,Yes,Instellingen beheren,"Yes, button","Top, entire width","No, grayed out",2,Yes,"Good clarity, deny all option present","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",-,Yes,"Yes, interface interference & forced action",No,
https://www.waldnet.nl/,Waldnet,No,-,-,"Bottom, entire width","Yes, cookie notice stays visibile",-,-,"Not good, no option to deny consent.","No, all cookie information is missing",-,-,"Yes, obstruction",-,
https://www.omropfryslan.nl/,Omropfryslan,Yes,Instellingen beheren,"Yes, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, deny all option present","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",-,Yes,"Yes, interface interference & forced action",No,
https://degouda.nl/,Degouda,Yes,Instellingen beheren,"Yes, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, deny all option present","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",-,Yes,"Yes, interface interference & forced action",No,
https://debrugkrant.nl/,-,No cookie consent notice,,,,,,,,,,,,,
https://www.dewestkrant.nl/,-,No cookie consent notice,,,,,,,,,,,,,
https://www.barneveldsekrant.nl/,Barneveldsekrant,Yes,Instellingen beheren,"Yes, button","Middle of the page, middle","No, grayed out",2,Yes,"Good clarity, deny all option present","Yes, cookies are divided in general categories with additional information available. Specific cookie details are described in cookie statement on a seperate page",-,Yes,"Yes, interface interference & forced action",No,
https://www.herautonline.nl/,Herautonline,No,Read more,"Yes, link","Bottom, entire width","Yes, cookie notice stays visibile",-,-,"Not good, consent can not be denied. Cookie statements refers to browser settings","No, general cookie categories and description is provided but no information about specific cookies or third-parties.",-,-,"Yes, obstruction",-,
https://www.eendrachtbode.nl/,Eendrachtbode,Yes,Cookie-instellingen aanpassen,"Yes, button","Top, entire width","Yes, cookie notice stays visibile",2,Yes,"Good clarity, all unnecessary options are opted-out by default","No, general cookie categories and description is provided but no information about specific cookies or third-parties.",-,Yes,"Yes, interface interference & forced action",No,
